Аналитик данных | Middle Data analyst; 180 000 – 250 000 ₽; ООО Зигмунд Онлайн; Москва
"Аналитик данных (middle); Ozon fresh; Москва, ; Деловой центр;  и еще 2 "
Middle Analyst; Островок; Москва
Системный аналитик (Middle); до 280 000 ₽; evrone.ru; Москва
Аналитик данных Power BI / Разработчик Power BI (Senior / Middle+ level); от 200 000 ₽; ООО Нью Левел Бизнес; Москва
Системный аналитик (Middle); СБЕРКОРУС; Москва
"Системный аналитик (middle); Datanomica; Москва, ; Кутузовская"
Аналитик (middle); до 260 000 ₽; Outlines Technologies; Москва
Middle аналитик данных; ООО Медиапоинт; Москва
Middle FinOps Analyst; от 2 000 €; ООО Айтез; Москва
Senior/Middle NLP Data Analyst; Сбер для экспертов; Москва
Middle Data Scientist; ООО СК Сбербанк страхование жизни; Москва
Middle Data scientist; Sape; Москва
Middle Data Scientist; DCS; Москва
"Разработчик Data Science NLP (Middle); от 160 000 ₽; ООО Лаборатория Наносемантика; Москва, ; Давыдково"
Data Scientist (middle/senior); до 450 000 ₽; Rubbles; Москва
Middle Data Science; Сбер для экспертов; Москва
Data Scientist (Middle+) в промышленности; АО Промышленные инновации; Москва
Junior/Middle Data Scientist (команда Персонализация СболПРО); Сбер для экспертов; Москва
Middle/Senior Data Scientist в команду NLP; 2ГИС; Москва
Data scientist (Middle/Middle+); ООО РСХБ-Интех; Москва
Data analyst ( Мiddle/Middle+ ); ООО РСХБ-Интех; Москва
Middle-Senior ML / Data Science разработчик; до 200 000 ₽; Intelligent Analytics; Москва
Middle/Senior Data Scientist (блок Управление благосостоянием); Сбер для экспертов; Москва
Middle / senior рекрутер по направлениям AI; до 250 ₽; Институт искусственного интеллекта AIRI; Москва
Middle backend python developer; АО Гринатом. Центр Разработки.; Москва
Middle/Senior Data Analyst; WILDBERRIES; Москва
Middle/Senior Data Scientist NLP/LLM; Сбер для экспертов; Москва
Data Scientist Middle+/Senior; D Innovate Group; Москва
"Системный аналитик (middle); Datanomica; Москва, ; Кутузовская"
"System Analyst Middle (Refill); ООО Группа Компаний Wallet One; Москва, ; Краснопресненская"
Middle+ Qa Engineer; ООО JSA Group; Москва
Middle+/Senior Python разработчик; ООО ГК Иннотех | Большие данные; Москва
"Middle / senior рекрутер по направлениям AI/ Robotics; Сбер для экспертов; Москва, ; Кутузовская"
"Middle Java-разработчик (Спутник); от 214 550 ₽; Сбер для экспертов; Москва, ; Кутузовская;  и еще 1 "
Senior/middle Системный аналитик (разработка АБС для Филиала в Индии); Сбер для экспертов; Москва
"Middle RAG-Engineer; ПАО «МТС» ; Москва, ; Курская;  и еще 2 ; Узнать о жизни в компании "
Java-разработчик (Middle/Middle+); Солар; Москва
"Middle Backend Developer (Python, PostgreSQL, Django), отдел ИРО; ФГБУ ЦСП ФМБА России; Москва, ; Покровское;  и еще 3 "
"Бизнес-аналитик (Middle+); ФГБУ ЦСП ФМБА России; Москва, ; Покровское;  и еще 3 "
Middle+ Python Developer; Go Ahead; Москва
"Middle/Senior MLOps, команда инфраструктуры ML; WILDBERRIES; Москва"
"Системный аналитик (Middle), отдел ИРО; ФГБУ ЦСП ФМБА России; Москва"
