Аналитик данных Power BI / Разработчик Power BI (Senior / Middle+ level); от 200 000 ₽; ООО Нью Левел Бизнес; Москва
"Ведущий бизнес аналитик (Senior BI analyst, Фарма); Antal Talent; Москва"
Senior Бизнес-аналитик; ООО Объединенная Профессиональная Спортивная Лига; Москва
Senior System Analyst (iCLM); ООО Эквирон; Москва
Senior Business/System Analyst; QBigTech; Москва
Старший системный аналитик / System Analyst (Senior); ООО Ассистагро; Москва
Senior Аналитик данных; ООО Медиапоинт; Москва
Senior системный аналитик; ООО Миксвел; Москва
"Senior Data Analyst ""Growth""; Okko; Москва, ; Баррикадная;  и еще 2 "
"Senior Web/маркетинговый аналитик; 250 000 – 250 000 ₽; Эксмо, издательство; Москва"
Senior/Middle NLP Data Analyst; Сбер для экспертов; Москва
Senior Business Analyst; ООО ГК Иннотех | Финтех (Иннотех); Москва
Senior Data Engineer; от ; 400 000;  ; ₽; ООО ; Лаборатория Маркетинга; Москва
Senior NLP Engineer / ML / LLM / Data Science / AI инженер; Nexpanse; Москва
"Ведущий специалист по машинному обучению / Senior Data Scientist; до 400 000 ₽; Литрес; Москва, ; Выставочная;  и еще 1 "
Senior Data scientist; Sape; Москва
Senior Data analyst; ООО Ок Софт; Москва
Data Scientist (middle/senior); до 450 000 ₽; Rubbles; Москва
Senior Data Scientist; Сбер для экспертов; Москва
Senior Data Scientist CV (Generative design); Samokat.tech; Москва
Senior Data Engineer в блок Сеть Продаж; Сбер. Data Science; Москва
Senior Data Engineer; Циан; Москва
Senior Data Engineer; Криптонит; Москва
Senior Data Science; 200 000 – 300 000 ₽; Datana; Москва
Middle/Senior Data Scientist в команду NLP; 2ГИС; Москва
"Senior Data Science Specialist (Prediction); ООО Эвокарго; Москва, ; Алексеевская"
Senior Data Science; ООО Лаборатория Наносемантика; Москва
"Senior DWH Developer/Разработчик хранилища данных/Data engineer; NGRServices; Москва, ; Деловой центр"
Senior Data Scientist; Kokoc Group; Москва
Senior Data Scientist; ООО СберОбразование; Москва
"Senior Data Scientist (CV), Sber AI; Сбер для экспертов; Москва"
"Senior Data Scientist (розничное риск-моделирование); Сбер. Data Science; Москва, ; Кутузовская;  и еще 1 "
Middle-Senior ML / Data Science разработчик; до 200 000 ₽; Intelligent Analytics; Москва
Senior Product analyst; ООО Ок Софт; Москва
Data scientist senior; USETECH; Москва
"Senior рекрутер/Эксперт по подбору персонала; ПАО ВТБ, Подразделения Поддержки и Контроля; Москва"
Senior Data Scientist; Сбер для экспертов; Москва
"Data scientist CV (senior); РУСАЛ, Центр подбора персонала; Москва"
"Senior Data Scientist (RecSys); Сбер. Data Science; Москва, ; Кутузовская;  и еще 1 "
Middle/Senior Data Scientist (блок Управление благосостоянием); Сбер для экспертов; Москва
Middle / senior рекрутер по направлениям AI; до 250 ₽; Институт искусственного интеллекта AIRI; Москва
Senior Data Scientist; WILDBERRIES; Москва
"Senior Data scientist; ПАО МегаФон, IT; Москва"
Senior Data Scientist; ООО PepsiCo; Москва
Middle/Senior Data Analyst; WILDBERRIES; Москва
"Senior Data Scientist (главный исследователь данных по КАСКО); ВСК, САО; Москва"
Senior Data Scientist (Кредиты физический лиц); Сбер для экспертов; Москва
Middle/Senior Data Scientist NLP/LLM; Сбер для экспертов; Москва
Senior ML инженер; до 350 000 ₽; Excdev; Москва
"Tech Lead / Senior developer в FoodTech проект; ООО ПАВЛИН ТЕХНО; Москва, ; Яхромская"
Senior Data Scientist (СберБизнес); Сбер для экспертов; Москва
Senior/Lead Data Scientist; WILDBERRIES; Москва
Data Scientist Middle+/Senior; D Innovate Group; Москва
Senior Data Scientist (NLP) в автоматизацию коммуникаций; WILDBERRIES; Москва
Product Manager/Senior (Rare Diseases); АстраЗенека; Москва
Senior Product Analyst в Capital Markets; Райффайзен Банк; Москва
"Старший менеджер по исследованиям рынка и аналитике / Market Intelligence & Analytics Senior Manager; ООО Марс; Москва, ; Сокол"
Senior DataScience; ООО Динамика; Москва
Senior Python Engineer (relocation to Yerevan); SCHNEIDER GROUP; Москва
"Senior С++ developer; до 600 000 ₽; ISG; Москва, ; Трубная;  и еще 1 "
Senior Product Manager / Главный руководитель продукта; РТЛабс; Москва
Senior Go Developer в Predict; VK; Москва
Middle+/Senior Python разработчик; ООО ГК Иннотех | Большие данные; Москва
"Senior Python разработчик (Intelligent Document Processing); Сбер. IT; Москва, ; Кутузовская"
"Middle / senior рекрутер по направлениям AI/ Robotics; Сбер для экспертов; Москва, ; Кутузовская"
Senior/middle Системный аналитик (разработка АБС для Филиала в Индии); Сбер для экспертов; Москва
"Senior Системный аналитик; Сбер. IT; Москва, ; Ленинский проспект"
Senior MLOps Engineer; ГК «ХайТэк»; Москва
Системный аналитик (Senior); 200 000 – 320 000 ₽; ООО А17; Москва
Senior ML Ops Engineer; 6 000 – 8 000 $; EmFi Technologies Limited; Москва
Senior Site Reliability Engineer (SRE) GigaCode; Сбер для экспертов; Москва
"Ведущий разработчик/Senior full stack (C# NET 4.8), удаленно; ООО Смарт-ком; Москва"
"Senior Backend-разработчк (NodeJS, TypeScript, Remote); OneForce; Москва"
Senior Java Developer; Aram Meem Services; Москва
"Fullstack developer (senior); ПАО МегаФон, IT; Москва"
"Senior ML Engineer, Computer Vision; WILDBERRIES; Москва"
"Middle/Senior MLOps, команда инфраструктуры ML; WILDBERRIES; Москва"
"Senior ML engineer, Large Language & Behavior Models (LLM); WILDBERRIES; Москва"
Senior ML Engineer (MLOps); Lamoda Tech; Москва
"Senior Python Developer; Бюро 1440; Москва, ; Улица 1905 года"
"Senior/Lead Manual QA Engineer (defi, blockchain); 4 000 – 5 000 $; EmFi Technologies Limited; Москва"
"Senior ML engineer, Large Language & Behavior Models (LLM); WILDBERRIES; Москва"
Senior CRM-Manager; Сбер для экспертов; Москва
Ведущий менеджер по корпоративным продажам / Senior sales manager; IDF Eurasia; Москва
